,Algorithm,Instance,Number of States,Extracted Number of States,RunNumber,Time(s),LastTokenQuery,EquivalenceQuery,Tree Depth,Inner Nodes,Accuracy_in_target,Accuracy_anywhere
100,QuantNaryTreeLearner_Standard_Teacher,PDFA - 124fcabc3f64413c865becd249d73e9e,105,103,1,16.481483799999978,13098,32,3,4,1.0,0.999
101,QuantNaryTreeLearner_Standard_Teacher,PDFA - 83654771c1114cafb612e26a62e2b14c,104,104,1,9.92708719999996,7848,27,3,3,1.0,1.0
102,QuantNaryTreeLearner_Standard_Teacher,PDFA - 7a384019103c4a01943198cbcef08a01,102,96,1,13.267144599999938,9123,27,3,4,0.999,0.991
103,QuantNaryTreeLearner_Standard_Teacher,PDFA - c5183cd3ff004e708147ae7db0418301,90,89,1,12.868024099999957,10620,25,3,5,1.0,1.0
104,QuantNaryTreeLearner_Standard_Teacher,PDFA - 60fa0c1ca5864255b0446f17abc676b5,100,98,1,11.669133200000033,8934,29,3,4,1.0,1.0
105,QuantNaryTreeLearner_Standard_Teacher,PDFA - 7d8e8099ea334f6885abf8fcf3522b10,100,96,1,10.701988399999891,8697,27,3,4,1.0,0.994
106,QuantNaryTreeLearner_Standard_Teacher,PDFA - 8e4f2bf41a7945e995c4ce6930fef37b,96,95,1,10.208041500000036,8052,23,3,4,1.0,0.999
107,QuantNaryTreeLearner_Standard_Teacher,PDFA - 8f00579501d649c895c098b51acea1bb,110,109,1,12.963412999999946,9033,26,3,4,1.0,0.994
108,QuantNaryTreeLearner_Standard_Teacher,PDFA - 98776dbb3bf641f79afd131c925e14f6,101,101,1,18.268807899999956,13131,28,3,4,1.0,1.0
109,QuantNaryTreeLearner_Standard_Teacher,PDFA - c08c65f764564c5d9add11e192084f75,98,98,1,13.396177399999942,10278,31,3,5,1.0,1.0
110,QuantNaryTreeLearner_Standard_Teacher,PDFA - 22a03c528c504baead1331b8a9071257,12,12,1,3.5167163000000983,2559,2,1,1,1.0,1.0
